name,st,min,near,use,year,floors,area,src,addr
プラウド小竹向原,小竹向原,10,小竹向原:10|ときわ台:14,分譲,2023,11,4255,建築物環境計画書,板橋区小茂根二丁目21番16
Alivis東京尾久,尾久,2,尾久:2|小台:10|西ケ原:13,分譲,2025,14,2425,建築物環境計画書,北区昭和町2丁目7番1号(住居表示)
昭和町グリーンハイツ,尾久,3,尾久:3|小台:9|田端:14,分譲,,,,とどまるマンション,北区昭和町1丁目
イニシア東京尾久,尾久,4,尾久:4|小台:7,分譲,2025,8,3272,建築物環境計画書,荒川区西尾久7丁目142番2(地名地番)
サンウッドテラス東京尾久,尾久,4,尾久:4|小台:7,分譲,2025,7,2366,建築物環境計画書,荒川区西尾久7丁目219番1
コスモデュオスクエア,尾久,7,尾久:7|小台:9,分譲,,,,とどまるマンション,荒川区西尾久8丁目
レクセルマンション田端,尾久,7,尾久:7|小台:8|赤土小学校前:11|田端:11|熊野前:12,分譲,,,,とどまるマンション,荒川区西尾久4丁目
ピア-ス尾山台レジデンス,尾山台,4,尾山台:4|九品仏:7|等々力:10,分譲,2022,5,2737,建築物環境計画書,世田谷区尾山台3丁目5番4
ディアナコート自由が丘翠景,尾山台,9,尾山台:9|九品仏:9|等々力:13|自由が丘:13,分譲,2025,6,2999,建築物環境計画書,世田谷区等々力六丁目37番3号
パーク・ハイム自由が丘弐番館,尾山台,9,尾山台:9|九品仏:9|等々力:13|自由が丘:13,分譲,,,,とどまるマンション,世田谷区等々力6丁目
ピアースコード等々力マンション,尾山台,11,尾山台:11|等々力:13|九品仏:14,分譲,,,,とどまるマンション,世田谷区等々力7丁目
アルファグランデ 千桜タワー,岩本町,3,岩本町:3|神田:5|秋葉原:6|淡路町:7|新日本橋:7,分譲,,,,とどまるマンション,千代田区神田東松下町
ガレリアドゥエル神田岩本町,岩本町,3,岩本町:3|小伝馬町:4|馬喰町:6|馬喰横山:7|新日本橋:7,分譲,2023,14,3172,建築物環境計画書,東京都千代田区岩本町二丁目2番11号
ライオンズフォーシア神田須田町,岩本町,3,岩本町:3|秋葉原:4|神田:6|淡路町:6|新御茶ノ水:9,賃貸,2023,15,2373,建築物環境計画書,千代田区神田須田町二丁目19-1他
nido SUGAMO,巣鴨,2,巣鴨:2|駒込:10|大塚:12|千石:12,分譲,2024,14,2771,建築物環境計画書,"豊島区巣鴨2丁目66-1,5,6,7"
プラウドフラット巣鴨II,巣鴨,2,巣鴨:2|千石:9|駒込:9|大塚:14,賃貸,,,,とどまるマンション,豊島区巣鴨一丁目
ミレーネ巣鴨駅前,巣鴨,5,巣鴨:5|大塚:8|新大塚:13|駒込:14|千石:15,賃貸,2023,14,3982,建築物環境計画書,豊島区巣鴨三丁目30番6号
藤和シティホームズ巣鴨,巣鴨,5,巣鴨:5|大塚:8|新大塚:13|駒込:14|千石:15,分譲,,,,とどまるマンション,豊島区巣鴨3丁目
ザ・パークハビオ 市ヶ谷イースト,市ケ谷,5,市ケ谷:5|牛込神楽坂:9|飯田橋:11|神楽坂:13|半蔵門:14,賃貸,2024,13,3680,建築物環境計画書,新宿区市谷田町二丁目4 番1
ザ・パークハビオ 市ヶ谷ウエスト,市ケ谷,5,市ケ谷:5|牛込神楽坂:9|飯田橋:11|神楽坂:13|半蔵門:14,賃貸,2024,13,2698,建築物環境計画書,新宿区市谷田町二丁目4番地2
シティタワー・ルフォン九段の杜,市ケ谷,5,市ケ谷:5|牛込神楽坂:11|半蔵門:11|飯田橋:12|麹町:13,分譲,,,,とどまるマンション,千代田区九段北4丁目
調布ハイツ,布田,4,布田:4|調布:5|国領:11,分譲,,,,とどまるマンション,調布市布田2丁目
フォルスコート調布染地公園,布田,13,布田:13,分譲,,,,とどまるマンション,調布市染地2丁目
ミオカステーロ調布緑地公園,布田,13,布田:13,分譲,,,,とどまるマンション,調布市染地2丁目
平井五丁目駅前地区第一種市街地再開発事業,平井,2,平井:2|東あずま:12|亀戸水神:15,分譲,2024,29,44149,建築物環境計画書,江戸川区平井五丁目65番
アルページュヒライ,平井,5,平井:5|東あずま:12,賃貸,,,,とどまるマンション,江戸川区平井6丁目
シティハウス平井 アクアレジデンス,平井,5,平井:5|東あずま:12,分譲,2023,8,5671,建築物環境計画書,江戸川区平井六丁目2375(地番)
シティーハウス平井 コンフォートレジデンス,平井,5,平井:5|東あずま:12,分譲,2023,12,6597,建築物環境計画書,江戸川区平井六丁目1729-3
シティーハウス平井 ブリーズレジデンス,平井,5,平井:5|東あずま:12,分譲,2023,12,15742,建築物環境計画書,江戸川区平井六丁目1745
プライムアーバン平井,平井,5,平井:5|東あずま:12,賃貸,,,,とどまるマンション,江戸川区平井6丁目
グランカーサ平井,平井,6,平井:6,賃貸,2025,11,3330,建築物環境計画書,江戸川区平井4丁目8-3
コスモ平井ガーデンフォルム,平井,6,平井:6,分譲,,,,とどまるマンション,江戸川区平井4丁目
コスモ平井メルベーユ,平井,6,平井:6,分譲,,,,とどまるマンション,江戸川区平井4丁目
シティハウス平井サウス,平井,6,平井:6,分譲,2023,15,4251,建築物環境計画書,江戸川区平井4丁目196番4(地番)
プラウド平和台ガーデン,平和台,3,平和台:3,分譲,2022,4,3702,建築物環境計画書,練馬区北町6丁目33番12号
平和台不二ハイツ,平和台,3,平和台:3,賃貸,,,,とどまるマンション,練馬区北町6丁目
NIIYA平和台,平和台,12,平和台:12|氷川台:12|東武練馬:14,賃貸,2026,4,5421,建築物環境計画書,"練馬区平和台1-1584-1,8"
レジディア平和台,平和台,12,平和台:12|氷川台:12|東武練馬:14,賃貸,2022,4,2707,建築物環境計画書,練馬区平和台4-1629-2.11.30(住居表示4-13-4)
ガーラ・グランディ大森西,平和島,5,平和島:5|大森町:7|梅屋敷:15,分譲,2022,9,2922,建築物環境計画書,大田区大森西2丁目3番4号
メイツ大森西,平和島,5,平和島:5|大森町:7|梅屋敷:15,分譲,,,,とどまるマンション,大田区大森西2丁目
ザ・パークハウス南麻布,広尾,3,広尾:3|麻布十番:14,分譲,2023,10,2136,建築物環境計画書,港区南麻布五丁目10番35号
南麻布レジデンス,広尾,3,広尾:3|麻布十番:14,賃貸,2023,11,3143,建築物環境計画書,港区南麻布五丁目61番4(地番)
